Grid_Row,X,Y
1,29.3,-1.6
2,29.4,-1.6
3,29.5,-1.6
4,29.6,-1.6
5,29.7,-1.6
6,29.8,-1.6
7,29.9,-1.6
8,30,-1.6
9,30.1,-1.6
10,30.2,-1.6
11,30.3,-1.6
12,30.4,-1.6
13,30.5,-1.6
14,30.6,-1.6
15,30.7,-1.6
16,30.8,-1.6
17,30.9,-1.6
18,31,-1.6
19,31.1,-1.6
20,31.2,-1.6
21,31.3,-1.6
22,31.4,-1.6
23,31.5,-1.6
24,31.6,-1.6
25,31.7,-1.6
26,31.8,-1.6
27,31.9,-1.6
28,32,-1.6
29,32.1,-1.6
30,32.2,-1.6
31,32.3,-1.6
32,32.4,-1.6
33,32.5,-1.6
34,32.6,-1.6
35,32.7,-1.6
36,32.8,-1.6
37,32.9,-1.6
38,33,-1.6
39,33.1,-1.6
40,33.2,-1.6
41,33.3,-1.6
42,33.4,-1.6
43,33.5,-1.6
44,33.6,-1.6
45,33.7,-1.6
46,33.8,-1.6
47,33.9,-1.6
48,34,-1.6
49,34.1,-1.6
50,34.2,-1.6
51,34.3,-1.6
52,34.4,-1.6
53,34.5,-1.6
54,34.6,-1.6
55,34.7,-1.6
56,34.8,-1.6
57,34.9,-1.6
58,35,-1.6
59,35.1,-1.6
60,35.2,-1.6
61,29.3,-1.5
62,29.4,-1.5
63,29.5,-1.5
64,29.6,-1.5
65,29.7,-1.5
66,29.8,-1.5
67,29.9,-1.5
68,30,-1.5
69,30.1,-1.5
70,30.2,-1.5
71,30.3,-1.5
72,30.4,-1.5
73,30.5,-1.5
74,30.6,-1.5
75,30.7,-1.5
76,30.8,-1.5
77,30.9,-1.5
78,31,-1.5
79,31.1,-1.5
80,31.2,-1.5
81,31.3,-1.5
82,31.4,-1.5
83,31.5,-1.5
84,31.6,-1.5
85,31.7,-1.5
86,31.8,-1.5
87,31.9,-1.5
88,32,-1.5
89,32.1,-1.5
90,32.2,-1.5
91,32.3,-1.5
92,32.4,-1.5
93,32.5,-1.5
94,32.6,-1.5
95,32.7,-1.5
96,32.8,-1.5
97,32.9,-1.5
98,33,-1.5
99,33.1,-1.5
100,33.2,-1.5
101,33.3,-1.5
102,33.4,-1.5
103,33.5,-1.5
104,33.6,-1.5
105,33.7,-1.5
106,33.8,-1.5
107,33.9,-1.5
108,34,-1.5
109,34.1,-1.5
110,34.2,-1.5
111,34.3,-1.5
112,34.4,-1.5
113,34.5,-1.5
114,34.6,-1.5
115,34.7,-1.5
116,34.8,-1.5
117,34.9,-1.5
118,35,-1.5
119,35.1,-1.5
120,35.2,-1.5
121,29.3,-1.4
122,29.4,-1.4
123,29.5,-1.4
124,29.6,-1.4
125,29.7,-1.4
126,29.8,-1.4
127,29.9,-1.4
128,30,-1.4
129,30.1,-1.4
130,30.2,-1.4
131,30.3,-1.4
132,30.4,-1.4
133,30.5,-1.4
134,30.6,-1.4
135,30.7,-1.4
136,30.8,-1.4
137,30.9,-1.4
138,31,-1.4
139,31.1,-1.4
140,31.2,-1.4
141,31.3,-1.4
142,31.4,-1.4
143,31.5,-1.4
144,31.6,-1.4
145,31.7,-1.4
146,31.8,-1.4
147,31.9,-1.4
148,32,-1.4
149,32.1,-1.4
150,32.2,-1.4
151,32.3,-1.4
152,32.4,-1.4
153,32.5,-1.4
154,32.6,-1.4
155,32.7,-1.4
156,32.8,-1.4
157,32.9,-1.4
158,33,-1.4
159,33.1,-1.4
160,33.2,-1.4
161,33.3,-1.4
162,33.4,-1.4
163,33.5,-1.4
164,33.6,-1.4
165,33.7,-1.4
166,33.8,-1.4
167,33.9,-1.4
168,34,-1.4
169,34.1,-1.4
170,34.2,-1.4
171,34.3,-1.4
172,34.4,-1.4
173,34.5,-1.4
174,34.6,-1.4
175,34.7,-1.4
176,34.8,-1.4
177,34.9,-1.4
178,35,-1.4
179,35.1,-1.4
180,35.2,-1.4
181,29.3,-1.3
182,29.4,-1.3
183,29.5,-1.3
184,29.6,-1.3
185,29.7,-1.3
186,29.8,-1.3
187,29.9,-1.3
188,30,-1.3
